day,price,size,premium,premium*size,price*size,average,adjusted_size,weighted_price,weighted_average_premium,count,WAP_buy,WAP_sell,compound
2020-11-20,43.6075,0.85,-0.0155209391579185,-0.0030675019753922,37.10725,44.295,0.25,43.65558823529412,-0.0036088258534026,4,43.60409090909091,43.75,0.17300890410958905
2020-11-21,44.81666666666666,3.4,0.0117771005004327,0.0128908454678858,152.316,44.295,3.4,44.79882352941177,0.0037914251376134,3,44.79882352941176,,0.17300890410958905
2020-11-23,44.4,0.3,0.0023704707077547,0.0003555706061632,13.32,44.295,-0.3,44.39999999999999,0.0011852353538773,2,,44.39999999999999,0.23370677966101697
2020-11-24,45.35615384615385,220.6,0.0049764453480635,0.0318347005564856,10004.234,45.132371153846144,-220.4,45.350108794197645,0.0001443096126767,39,45.59,45.35,0.22188636363636363
2020-11-25,46.43666666666667,10.05,-0.0017610448879608,-0.0008743570973529,466.57475,46.51904583333333,9.95,46.425348258706464,-8.70007062042732e-05,6,46.425,46.495,0.23234019607843137
2020-11-26,46.755,0.2,-0.0026004279293211,-0.0005200855858642,9.351,46.8769,0.2,46.755,-0.0026004279293211,1,46.755,,0.28210714285714283
2020-11-27,46.72953125,210.8,-0.0030408267029298,-0.0205033277645149,9849.6735,46.8720609375,175.2,46.72520635673624,-9.726436320927384e-05,32,46.72522538860104,46.725,0.24526236559139786
2020-11-28,47.005,0.2,-0.0116175156389632,-0.0023235031277926,9.401000000000002,47.5575,0.2,47.005,-0.0116175156389632,1,47.005,,0.24526236559139786
2020-11-30,46.34,2.95,-0.0256005887609734,-0.0755217368448717,136.70300000000003,47.5575,-2.95,46.34000000000001,-0.0256005887609734,1,,46.34000000000001,0.1202264705882353
2020-12-02,47.04,1.0,-0.0108815644220154,-0.0054407822110077,47.04,47.5575,0.0,47.04,-0.0054407822110077,2,47.08,47.0,0.17976972477064218
2020-12-08,47.545,2.5,-0.0002628397203384,-0.0006570993008461,118.8625,47.5575,2.5,47.545,-0.0002628397203384,1,47.545,,0.2304486725663717
2020-12-09,48.43,2.45,-0.0017520354529526,-0.0014308289532446,118.6535,48.51500000000001,2.45,48.42999999999999,-0.0005840118176508,3,48.42999999999999,,0.08206000000000001
2020-12-10,48.96666666666667,5.6,-0.0222572573498679,-0.0552585479707374,271.685,50.07896666666667,-4.6,48.51517857142858,-0.0098675978519174,3,50.2,48.35,0.15092696078431372
2020-12-11,51.135,9.45,-0.0336849654249702,-0.1958246464663643,479.3455,52.917525,9.35,50.72439153439153,-0.0207221848112554,2,50.72,51.55,0.3246547169811321
2020-12-12,51.02,0.05,-0.0358581585212081,-0.0017929079260604,2.551,52.917525,-0.05,51.02,-0.0358581585212081,1,,51.02,0.3246547169811321
2020-12-14,52.605,19.2,-0.0059058884556675,-0.1450935205302969,1000.6605,52.917525,19.2,52.117734375000005,-0.0075569541942862,2,52.117734375000005,,0.17793529411764705
2020-12-15,52.3475,0.55,0.0035884445279339,0.0010929925613964,28.81475,52.1603125,-0.45,52.39045454545454,0.001987259202539,2,52.295,52.4,0.15604
2020-12-17,54.09,9.7,-0.0056989863515687,-0.0552801676102167,524.673,54.400025,-9.7,54.09,-0.0056989863515687,1,,54.09,0.17693985239852397
2020-12-22,54.85,0.1,0.0058452722063037,0.0002922636103151,5.485,54.53125,0.0,54.85,0.0029226361031518,2,55.03,54.67,0.17688372093023258
2020-12-24,54.322500000000005,37.4,0.0030214737025513,0.0436163263988561,2025.2005,54.1587625,36.4,54.14974598930482,0.0011662119357982,2,54.145,54.5,0.26374954954954954
2020-12-27,53.65,36.85,-0.0084553897334012,-0.1038603705586115,1977.0025,54.1075,-36.85,53.65,-0.002818463244467,3,,53.64999999999999,0.27830470588235295
2020-12-30,54.64,0.2,0.0098415191978931,0.0019683038395786,10.928,54.1075,0.2,54.64,0.0098415191978931,1,54.64,,0.19967300000000002
2020-12-31,54.57,0.4,0.0085477983643671,0.0017095596728734,21.828000000000003,54.1075,0.4,54.57000000000001,0.0042738991821835,2,54.57000000000001,,0.3461074468085107
2021-01-05,54.3425,1.35,0.0043432056554081,0.0016997412558332,73.413,54.1075,0.45,54.38,0.0012590675969135,4,54.41,54.32,0.1639836956521739
2021-01-06,54.1075,1.8,0.001666126718193,0.0014995140463737,97.3935,54.017500000000005,1.8,54.1075,0.0008330633590965,2,54.1075,,0.24578305084745763
2021-01-09,51.94,1.9,0.081745851164142,0.1553171172118698,98.686,48.014975,1.9,51.94,0.081745851164142,1,51.94,,0.20775511363636365
2021-01-11,48.5,0.5,0.0101015360312068,0.0050507680156034,24.25,48.014975,-0.5,48.5,0.0101015360312068,1,,48.5,0.1943582191780822
2021-01-12,47.821666666666665,1.3,0.005087249040818,0.0016549291274742,62.263,47.57955833333333,-0.7,47.894615384615385,0.0012730224057493,3,47.60999999999999,47.98,0.35219216867469877
2021-01-13,48.32,2.0,0.004678240981391,0.009356481962782,96.64,48.095,2.0,48.32,0.004678240981391,1,48.32,,0.14293450704225352
2021-01-14,46.8735,45.6,0.0010889969848393,-0.0267109344625981,2157.329,46.82542,-3.0,47.30984649122807,-0.0005857661066359,10,47.60437793427229,47.051676954732514,0.07830704225352113
2021-01-15,45.81,11.0,0.003426896703542,0.0119811785355861,503.83,45.65355,-9.0,45.80272727272728,0.0010891980486896,3,45.83,45.8,0.09764125
2021-01-16,45.335,0.1,0.0183252497378938,0.0018325249737893,4.5335,44.519175,0.1,45.335,0.0183252497378938,1,45.335,,0.09764125
2021-01-17,45.17,1.5,0.0146189815961322,0.0110203917750046,67.75999999999999,44.519175,0.5,45.173333333333325,0.0073469278500031,2,45.18,45.16,0.09764125
