price,size,premium,premium*size,price*size,average,adjusted_size,weighted_price,weighted_average_premium,count,WAP_buy,WAP_sell
36.21095744680851,34.66,0.010956521371281258,0.009603263547901772,1252.34835,35.818877127659576,31.66,36.13238170802077,0.0002770705005164966,47,36.137487937273825,36.0195
36.02333333333333,2.05,-0.00024143663251915046,0.00018408195553595128,73.83279999999999,36.0325625,-0.4099999999999999,36.016,8.979607587119575e-05,6,36.114999999999995,35.95
35.901250000000005,2.38,-0.0006583183438035323,-0.0006241865052524343,85.4458,35.925,1.56,35.90159663865547,-0.0002622632375010228,4,35.91441624365483,35.84
35.38772727272727,15.84,0.009953248510168019,0.010950105061147153,562.6713000000001,35.04017045454545,-9.28,35.52217803030304,0.0006912945114360576,22,35.38875,35.55702229299363
35.375,2.83,0.007045761867482847,0.01993950608497646,100.11125,35.1275,2.83,35.375,0.007045761867482848,1,35.375,
35.2675,10.01,0.0018710571816831223,0.01032794123155756,352.35335,35.20165,-9.99,35.200134865134864,0.001031762360794961,2,35.335,35.2
35.425,11.31,-0.0014798111479107368,-0.016736664082870435,400.65675,35.4775,-11.31,35.425,-0.0014798111479107368,1,,35.425
35.49,13.52,-0.0063913224864414015,-0.054569879015435994,479.7315,35.72,-6.48,35.48309911242603,-0.00403623365498787,3,35.6765625,35.415
35.211666666666666,0.91,-0.022957289586311973,-0.006782117903208194,32.06225,36.039025,0.10999999999999999,35.23324175824175,-0.007452876816712301,3,35.275,35.17999999999999
35.035,0.12,-0.027859382988302372,-0.0033431259585962846,4.204199999999999,36.039025,-0.12,35.035,-0.027859382988302372,1,,35.035
36.10666666666666,17.33,-0.00045008372182286926,-0.007096613025547183,625.9552,36.12299166666667,17.33,36.1197461050202,-0.00040949873199926047,3,36.11974610502019,
36.95418604651163,18.49,0.0005565456458660751,-0.0001588278613630986,682.7606,36.93361976744186,17.77,36.92593834505138,-8.589933010443409e-06,43,36.92784335355764,36.83
37.333333333333336,4.49,-0.0033850464810465017,-0.0034249086477101485,167.29269999999997,37.46,3.7699999999999996,37.25895322939866,-0.0007627858903586077,6,37.24317191283293,37.44
37.544999999999995,2.16,0.001503179600004123,0.0005411446560014843,81.09719999999999,37.48916666666667,0.72,37.544999999999995,0.00025052993333402046,6,37.6475,37.339999999999996
38.104,1.96,-0.00496665856830294,-0.0021987078800806224,74.648,38.294560000000004,1.24,38.08571428571428,-0.0011217897347350115,5,38.091499999999996,38.06
38.405,2.6,-0.004277936219859946,-0.01112263417163586,99.85300000000001,38.57,2.6,38.405,-0.004277936219859946,1,38.405,
38.335,2.62,-0.006092818252527832,-0.00798159191081146,100.4377,38.57,2.62,38.335,-0.0030464091262639163,2,38.335,
38.73681818181819,1.47,0.00017721766096258994,-0.0001457924193810468,56.85505,38.729938636363634,0.69,38.67690476190476,-9.917851658574612e-05,11,38.666666666666664,38.70525641025641
38.96727272727273,503.12,0.008821376002658709,0.2646399938214888,19622.06715,38.62712272727273,-497.68,39.00076949833041,0.0005259977616105278,22,39.18823529411765,38.999750499600324
39.16916666666666,1.54,0.0017776496015048198,0.000719053574934392,60.39305,39.09987916666666,-0.08000000000000002,39.216266233766234,0.0004669179058015532,6,39.27698630136987,39.16154320987654
39.17727272727273,10.83,-0.0016946314617936457,-0.002671895042448968,422.6363,39.24407045454546,3.0700000000000003,39.024589104339796,-0.0002467123769574301,11,39.026532374100725,39.02110824742268
39.55136363636364,4.71,-0.001578889189382507,-0.0012307299635736287,185.7843,39.61386136363637,3.95,39.44464968152867,-0.00026130147846573857,11,39.49012702078522,38.926447368421044
40.062,5.0,-0.00541211519364444,-0.004936196623634505,200.40585000000002,40.28,5.0,40.08117,-0.000987239324726901,5,40.08117,
40.115,3.25,-0.004096325719960214,-0.0001623543730472036,130.37375,40.28,3.25,40.115,-4.995519170683188e-05,82,40.11500000000001,
40.11615384615384,39.04,-0.004067680085554923,-0.012167806126346272,1566.15965,40.28,39.04,40.11679431352459,-0.0003116753618428861,13,40.11679431352459,
40.126666666666665,21.990000000000002,-0.0034977738818287953,-0.02129892054383398,880.5828,40.26761666666667,21.270000000000003,40.04469304229195,-0.0009685730124526593,6,40.04377253814147,40.1
40.47242424242424,49.58,-0.0023724876749455547,0.0017771525780672624,2002.5088999999998,40.56888560606061,-21.720000000000002,40.38944937474788,3.584414235714527e-05,33,40.84754486719311,40.21045161290323
41.06302083333333,27.07,0.007207424357178191,0.001162568399961755,1101.7827,40.76850052083333,-13.87,40.70124492057628,4.2946745473282414e-05,48,41.22018181818183,40.53392769907181
39.99875,25.22,-0.0017276549676553583,-0.0060417562554871225,1011.1818999999999,40.06846458333333,0.8999999999999992,40.094444885011896,-0.00023956210370686452,12,40.215336906585,39.9646052631579
39.55,0.01,-0.021766015335147215,-0.00021766015335147215,0.39549999999999996,40.43,-0.01,39.55,-0.021766015335147215,1,,39.55
40.61541666666667,19.009999999999998,-0.00502107885332867,-0.01723825878529681,761.64175,40.81911041666667,2.3499999999999996,40.0653208837454,-0.0009067995152707423,12,40.403483146067416,39.631758703481395
41.334545454545456,2.9099999999999997,0.0012364291007475653,0.0004989263324487039,120.2498,41.28366136363636,-0.03,41.32295532646048,0.00017145234792051683,11,41.425,41.22299319727891
41.705,24.34,-0.00749037382866401,-0.03289851619464951,1006.1828000000002,42.018640000000005,23.580000000000002,41.33865242399343,-0.0013516235084079502,10,41.33911519198665,41.30947368421052
42.445,1.44,0.0004786262440264477,0.00017230544784952115,61.120799999999996,42.425,0.0,42.445,0.00011965656100661191,4,42.55,42.34
