day,price,size,premium,premium*size,price*size,average,adjusted_size,weighted_price,weighted_average_premium,count,WAP_buy,WAP_sell
2021-07-20,190.18960396039606,346.40749999999997,0.011534992398504765,0.019948587331215777,65677.532,188.0006412128713,118.8025,189.59616059121126,5.758705377688352e-05,202,190.7512720061908,187.23518705652336
2021-07-21,188.93917525773193,578.7025,-0.005299589883032814,-0.03644326683298817,111072.7125,189.94979664948454,-343.23249999999996,191.93404642281655,-6.29740960735234e-05,97,192.24376247504992,191.854942322398
2021-07-22,195.12906976744185,257.9225,-0.0027775011828432717,-0.012799721044321309,50392.2525,195.67388255813955,135.2175,195.37749711638185,-4.962622898088111e-05,43,195.42629025283614,195.2211666191272
2021-07-23,194.74099999999999,30.485,-0.00040829632153912334,-0.0005791373650826991,5934.174375,194.822923,-14.799999999999999,194.6588281121863,-1.899745334041985e-05,50,194.80286898310484,194.60893783813628
2021-07-24,194.1375,8.17,0.00845410628019323,0.0025713729156926807,1582.707,192.51,-7.465,193.7217870257038,0.000314733527012568,20,195.313829787234,193.65
2021-07-25,194.52857142857144,20.0875,0.010485540639818356,0.017059317883300965,3890.03325,192.51,-19.9725,193.6544243932794,0.0008492504235619647,7,195.19565217391303,193.65
2021-07-26,192.56954545454548,261.2875,0.001925847969707842,-0.0007650000159292438,49880.501000000004,192.19900977272727,-52.42249999999999,190.90274506051762,-2.927809466312945e-06,110,190.85997773681564,190.931219119569
2021-07-27,190.5148936170213,202.35999999999999,0.0004719716040704321,0.0008511276042746419,38308.249749999995,190.42421170212765,-91.515,189.3074211800751,4.206007137154783e-06,94,192.3365781045604,188.16487111867286
2021-07-28,194.13620689655173,77.92999999999999,3.329883600811101e-05,0.0007394210281586416,15232.087875,194.1317603448276,46.794999999999995,195.45858943924034,9.488271887060717e-06,58,195.51749047905398,195.22263529789623
2021-07-29,196.07345679012346,54.11,4.7906190040009274e-05,0.001986191754463727,10632.93325,196.06396296296296,25.355,196.5058815376086,3.670655617194099e-05,81,196.84095513748187,195.57989914797423
2021-07-30,194.134375,79.1525,0.0003280163207118811,-0.005435102938445222,15191.65825,194.07155078125,-48.0125,191.9289757114431,-6.866621949332267e-05,64,194.96595215157356,191.18528486611876
2021-07-31,195.0,3.7325,-0.005843853757081814,-0.005345078927076124,725.8253749999999,196.14625,-1.6275,194.46091761553916,-0.0014320372209179167,6,195.4293349168646,194.0805970149254
2021-08-01,194.8166666666667,51.06,-0.006778530475771742,-0.09085486807250696,9961.765000000001,196.14625,50.98,195.0991970231101,-0.0017793746195163918,3,195.1001372010976,193.9
2021-08-02,197.5861842105263,33.345,0.00040519733517534114,0.00031971256012016893,6573.266375,197.50584407894735,10.53,197.12899610136452,9.588020996256378e-06,76,196.74325925925928,197.87079772079773
